x1,x2,x3,x4,x5,weight,radius,rng_seed,kind,sigma_factor,sigma,shell_thickness,inner_radius,outer_radius
3.17019,3.70383,3.38941,4.13607,4.86789,10.88359,0.4081496847272274,6400000000,shell,0.5,,0.2,0.32651974778178194,0.4081496847272274
9.29313,3.38941,4.13607,4.86789,2.47103,1.83493,0.1675880815677379,6400000000,shell,0.5,,0.2,0.13407046525419034,0.1675880815677379
2.36051,4.13607,4.86789,2.47103,4.34381,8.549109999999999,0.36173774874971537,6400000000,gaussian,0.5,0.18086887437485769,0.2,,
5.97577,4.86789,2.47103,4.34381,2.38487,5.18797,0.28179423691123473,6400000000,gaussian,0.5,0.14089711845561737,0.2,,
8.27979,2.47103,4.34381,2.38487,0.54549,4.2491900000000005,0.25502717155601634,6400000000,ball,0.5,,0.2,,
3.57233,4.34381,2.38487,0.54549,7.68623,4.2261299999999995,0.25433422453263,6400000000,gaussian,0.5,0.127167112266315,0.2,,
2.53891,2.38487,0.54549,7.68623,0.99421,8.15151,0.3532257953808173,6400000000,ball,0.5,,0.2,,
4.07257,0.54549,7.68623,0.99421,7.62567,8.53277,0.3613918869081143,6400000000,ball,0.5,,0.2,,
1.45339,7.68623,0.99421,7.62567,1.40709,10.71879,0.4050477836240713,6400000000,gaussian,0.5,0.20252389181203564,0.2,,
4.37953,0.99421,7.62567,1.40709,5.66943,7.22533,0.3325540356692503,6400000000,shell,0.5,,0.2,0.26604322853540024,0.3325540356692503
6.57331,7.62567,1.40709,5.66943,7.98061,7.76991,0.3448588479672747,6400000000,shell,0.5,,0.2,0.27588707837381976,0.3448588479672747
1.48137,1.40709,5.66943,7.98061,3.13847,9.50957,0.38151693348097776,6400000000,gaussian,0.5,0.19075846674048888,0.2,,
6.45099,5.66943,7.98061,3.13847,2.01269,7.6523900000000005,0.34224091367055487,6400000000,gaussian,0.5,0.17112045683527743,0.2,,
5.23473,7.98061,3.13847,2.01269,1.54063,1.55253,0.15415349634016534,6400000000,gaussian,0.5,0.07707674817008267,0.2,,
3.50371,3.13847,2.01269,1.54063,7.54301,10.84431,0.40741249179858885,6400000000,ball,0.5,,0.2,,
0.28217,2.01269,1.54063,7.54301,7.40327,8.998370000000001,0.37112080562922417,6400000000,ball,0.5,,0.2,,
5.43259,1.54063,7.54301,7.40327,7.32229,4.80999,0.27133477996641914,6400000000,gaussian,0.5,0.13566738998320957,0.2,,
6.45793,7.54301,7.40327,7.32229,1.21983,2.72773,0.20433090991451675,6400000000,gaussian,0.5,0.10216545495725837,0.2,,
5.97011,7.40327,7.32229,1.21983,3.52141,10.41471,0.39926107302293046,6400000000,gaussian,0.5,0.19963053651146523,0.2,,
9.75497,7.32229,1.21983,3.52141,2.10007,7.07917,0.32917326087108656,6400000000,gaussian,0.5,0.16458663043554328,0.2,,
4.95819,1.21983,3.52141,2.10007,8.69589,10.35159,0.3980493417655439,6400000000,gaussian,0.5,0.19902467088277195,0.2,,
7.16913,3.52141,2.10007,8.69589,3.42703,3.07093,0.2168045225883789,6400000000,gaussian,0.5,0.10840226129418945,0.2,,
4.21251,2.10007,8.69589,3.42703,5.35581,3.12111,0.2185686734728875,6400000000,shell,0.5,,0.2,0.17485493877831002,0.2185686734728875
