x1,x2,weight,radius,rng_seed,kind,sigma_factor,sigma,shell_thickness,inner_radius,outer_radius
4.22692,4.93844,14.17812,0.48487014469963946,20000000,ball,0.5,,0.2,,
2.39084,1.18588,2.1132400000000002,0.18719339943201083,20000000,shell,0.5,,0.2,0.14975471954560868,0.18719339943201083
6.48068,5.51476,1.06548,0.13291952202481636,20000000,shell,0.5,,0.2,0.10633561761985309,0.13291952202481636
4.63436,6.49052,6.58396,0.3304149671146464,20000000,gaussian,0.5,0.1652074835573232,0.2,,
1.03972,6.62804,1.99892,0.18205970158025434,20000000,ball,0.5,,0.2,,
8.09644,9.12508,8.63484,0.3783931512144172,20000000,gaussian,0.5,0.1891965756072086,0.2,,
0.05188,6.51316,3.8686800000000003,0.2532780325930861,20000000,ball,0.5,,0.2,,
2.09676,0.72732,7.71036,0.3575637207600989,20000000,gaussian,0.5,0.17878186038004945,0.2,,
8.60452,3.58164,7.29172,0.3477211534934429,20000000,ball,0.5,,0.2,,
2.50604,7.99228,9.30044,0.39270629913270483,20000000,shell,0.5,,0.2,0.3141650393061639,0.39270629913270483
5.43108,0.16756,3.35988,0.23603586790349237,20000000,gaussian,0.5,0.11801793395174619,0.2,,
1.97516,1.87612,9.01276,0.3865850215997048,20000000,shell,0.5,,0.2,0.3092680172797639,0.3865850215997048
8.60132,7.55924,6.53652,0.3292224306971409,20000000,shell,0.5,,0.2,0.26337794455771274,0.3292224306971409
6.97964,7.30748,5.07004,0.2899491318417754,20000000,ball,0.5,,0.2,,
1.33828,7.51796,7.45908,0.35168897375199293,20000000,ball,0.5,,0.2,,
3.70956,6.01692,8.33116,0.37167971331007643,20000000,shell,0.5,,0.2,0.29734377064806117,0.37167971331007643
3.91012,8.72084,9.413319999999999,0.3950822615693415,20000000,shell,0.5,,0.2,0.31606580925547323,0.3950822615693415
5.27724,3.39068,3.30364,0.2340520653341165,20000000,shell,0.5,,0.2,0.1872416522672932,0.2340520653341165
1.29348,3.20436,6.88628,0.33791576881767504,20000000,gaussian,0.5,0.16895788440883752,0.2,,
6.33996,6.42972,9.10556,0.38857016351578433,20000000,shell,0.5,,0.2,0.3108561308126275,0.38857016351578433
