x1,x2,x3,x4,x5,weight,radius,rng_seed,kind,sigma_factor,sigma,shell_thickness,inner_radius,outer_radius
2.11346,2.46922,5.59294,2.75738,3.24526,7.58906,0.02586051747432532,2025000000,gaussian,0.5,0.01293025873716266,0.2,,
6.19542,5.59294,2.75738,3.24526,8.31402,1.5566200000000001,0.011712093230651395,2025000000,shell,0.5,,0.2,0.009369674584521117,0.011712093230651395
8.24034,2.75738,3.24526,8.31402,9.56254,6.03274,0.023056879080301674,2025000000,shell,0.5,,0.2,0.01844550326424134,0.023056879080301674
7.31718,3.24526,8.31402,9.56254,8.25658,3.79198,0.018280001910241164,2025000000,ball,0.5,,0.2,,
5.51986,8.31402,9.56254,8.25658,0.36366,6.499460000000001,0.023932157669376085,2025000000,gaussian,0.5,0.011966078834688042,0.2,,
9.04822,9.56254,8.25658,0.36366,1.79082,9.81742,0.029413174753262383,2025000000,gaussian,0.5,0.014706587376631192,0.2,,
5.02594,8.25658,0.36366,1.79082,3.99614,2.43434,0.014646499306919731,2025000000,ball,0.5,,0.2,,
6.04838,0.36366,1.79082,3.99614,5.08378,9.35518,0.02871238652111339,2025000000,ball,0.5,,0.2,,
4.30226,1.79082,3.99614,5.08378,0.93806,4.14586,0.019113953889455554,2025000000,shell,0.5,,0.2,0.015291163111564443,0.019113953889455554
6.25302,3.99614,5.08378,0.93806,3.77962,5.15022,0.021303752514139775,2025000000,ball,0.5,,0.2,,
7.71554,5.08378,0.93806,3.77962,8.65374,2.17994,0.01386007205067388,2025000000,gaussian,0.5,0.00693003602533694,0.2,,
0.98758,0.93806,3.77962,8.65374,8.75898,10.00638,0.029694889498512296,2025000000,shell,0.5,,0.2,0.02375591159880984,0.029694889498512296
4.30066,3.77962,8.65374,8.75898,8.00846,8.76826,0.027797128027363005,2025000000,gaussian,0.5,0.013898564013681503,0.2,,
3.48982,8.65374,8.75898,8.00846,4.36042,8.03502,0.026609499061486422,2025000000,shell,0.5,,0.2,0.02128759924918914,0.026609499061486422
5.66914,8.75898,8.00846,4.36042,1.69534,4.22954,0.019305888162400645,2025000000,shell,0.5,,0.2,0.015444710529920518,0.019305888162400645
6.85478,8.00846,4.36042,1.69534,1.60218,9.66558,0.029184830652011932,2025000000,shell,0.5,,0.2,0.023347864521609547,0.029184830652011932
6.95506,4.36042,1.69534,1.60218,8.21486,10.20666,0.02999059221544099,2025000000,gaussian,0.5,0.014995296107720496,0.2,,
7.63862,1.69534,1.60218,8.21486,0.81322,2.15182,0.013770388327256418,2025000000,ball,0.5,,0.2,,
0.64674,1.60218,8.21486,0.81322,5.68094,3.94314,0.018640790097776194,2025000000,shell,0.5,,0.2,0.014912632078220956,0.018640790097776194
3.16998,8.21486,0.81322,5.68094,4.73338,5.05278,0.021101261151335263,2025000000,shell,0.5,,0.2,0.01688100892106821,0.021101261151335263
3.30546,0.81322,5.68094,4.73338,5.79726,3.9010599999999998,0.018541058865720602,2025000000,ball,0.5,,0.2,,
4.77942,5.68094,4.73338,5.79726,5.61802,2.38062,0.014483991346432643,2025000000,gaussian,0.5,0.0072419956732163214,0.2,,
