x1,x2,weight,radius,rng_seed,kind,sigma_factor,sigma,shell_thickness,inner_radius,outer_radius
5.28365,6.17305,17.47265,0.6690759772501776,5184000,ball,0.5,,0.2,,
5.48855,8.98235,2.39155,0.24753452496541278,5184000,ball,0.5,,0.2,,
0.60085,6.89345,3.58185,0.3029352041034962,5184000,shell,0.5,,0.2,0.24234816328279699,0.3029352041034962
3.29295,8.11315,7.9799500000000005,0.4521641575547204,5184000,ball,0.5,,0.2,,
3.79965,0.78505,9.74865,0.49976781890481986,5184000,ball,0.5,,0.2,,
2.62055,3.90635,3.04355,0.27924555496911774,5184000,shell,0.5,,0.2,0.2233964439752942,0.27924555496911774
7.56485,0.64145,9.58585,0.495577251531872,5184000,shell,0.5,,0.2,0.3964618012254976,0.495577251531872
0.12095,0.90915,6.88795,0.4200887403423553,5184000,shell,0.5,,0.2,0.33607099227388426,0.4200887403423553
5.75565,9.47705,3.86465,0.3146669513756082,5184000,gaussian,0.5,0.1573334756878041,0.2,,
0.63255,4.99035,1.37555,0.1877302415474045,5184000,shell,0.5,,0.2,0.15018419323792362,0.1877302415474045
