x1,x2,x3,weight,radius,rng_seed,kind,sigma,inner_radius,outer_radius
5.28365,6.17305,8.98235,17.47265,0.1801639185196783,4920750000,shell,,0.14413113481574266,0.1801639185196783
5.48855,8.98235,6.89345,2.39155,0.06665429861936364,4920750000,ball,,,
0.60085,6.89345,8.11315,3.58185,0.08157219102851883,4920750000,ball,,,
3.29295,8.11315,0.78505,7.9799500000000005,0.12175547951073296,4920750000,gaussian,0.06087773975536648,,
3.79965,0.78505,3.90635,9.74865,0.1345738476129116,4920750000,shell,,0.10765907809032929,0.1345738476129116
2.62055,3.90635,0.64145,3.04355,0.07519321440773656,4920750000,ball,,,
7.56485,0.64145,0.90915,9.58585,0.13344544207392645,4920750000,ball,,,
0.12095,0.90915,9.47705,6.88795,0.11311844418197473,4920750000,ball,,,
5.75565,9.47705,4.99035,3.86465,0.08473123070636385,4920750000,ball,,,
0.63255,4.99035,2.70945,1.37555,0.050550635640561156,4920750000,shell,,0.04044050851244893,0.050550635640561156
4.28885,2.70945,2.34515,8.949850000000001,0.1289425660104078,4920750000,ball,,,
2.46895,2.34515,9.44905,8.51595,0.12577808602664245,4920750000,shell,,0.10062246882131397,0.12577808602664245
0.75165,9.44905,6.63435,5.42065,0.10034924600274463,4920750000,shell,,0.0802793968021957,0.10034924600274463
8.72455,6.63435,1.89745,8.58755,0.12630573477244342,4920750000,shell,,0.10104458781795474,0.12630573477244342
9.17285,1.89745,0.02115,4.07385,0.08699432994172196,4920750000,shell,,0.06959546395337757,0.08699432994172196
7.13695,0.02115,5.90105,7.66395,0.11932041678336644,4920750000,gaussian,0.05966020839168322,,
2.38765,5.90105,9.23835,4.01665,0.08638143717803005,4920750000,gaussian,0.04319071858901503,,
4.09655,9.23835,9.00545,3.87955,0.08489441246964245,4920750000,shell,,0.06791552997571397,0.08489441246964245
6.61685,9.00545,5.53715,3.35785,0.0789803540331115,4920750000,shell,,0.06318428322648921,0.0789803540331115
2.92495,5.53715,2.03305,1.13195,0.045856621227391495,4920750000,ball,,,
8.26365,2.03305,9.20235,3.25265,0.07773329857541521,4920750000,shell,,0.06218663886033217,0.07773329857541521
1.94855,9.20235,6.83345,4.45155,0.09093771934262515,4920750000,gaussian,0.045468859671312575,,
7.02085,6.83345,4.49315,1.20185,0.0472512785326425,4920750000,gaussian,0.02362563926632125,,
0.63295,4.49315,9.04505,7.71995,0.11975555673059876,4920750000,shell,,0.09580444538447902,0.11975555673059876
9.97965,9.04505,8.92635,10.72865,0.14117603134060103,4920750000,shell,,0.11294082507248082,0.14117603134060103
5.48055,8.92635,0.18145,5.50355,0.10111367344255627,4920750000,gaussian,0.050556836721278135,,
6.78485,0.18145,6.48915,8.00585,0.12195290633127394,4920750000,gaussian,0.06097645316563697,,
3.06095,6.48915,6.13705,8.22795,0.12363295575307955,4920750000,shell,,0.09890636460246365,0.12363295575307955
3.13565,6.13705,6.81035,8.04465,0.12224806883957212,4920750000,gaussian,0.06112403441978606,,
5.89255,6.81035,5.84945,10.23555,0.13789357220786555,4920750000,ball,,,
8.30885,5.84945,5.12515,10.16985,0.13745030377069514,4920750000,gaussian,0.06872515188534757,,
5.00895,5.12515,0.50905,5.4559500000000005,0.10067545965389696,4920750000,ball,,,
7.33165,0.50905,7.25435,10.80065,0.14164895558793578,4920750000,gaussian,0.07082447779396789,,
2.38455,7.25435,2.63745,9.84755,0.13525475049935567,4920750000,ball,,,
9.99285,2.63745,8.00115,10.09385,0.1369357527846286,4920750000,gaussian,0.0684678763923143,,
3.27695,8.00115,7.36105,4.20395,0.0883725122652566,4920750000,ball,,,
6.16765,7.36105,0.65835,8.59665,0.12637263847927277,4920750000,ball,,,
2.15655,0.65835,1.34545,3.5395499999999998,0.08108909549179019,4920750000,ball,,,
6.23685,1.34545,6.71715,6.17785,0.10712901454614843,4920750000,gaussian,0.05356450727307421,,
6.66495,6.71715,9.89305,1.27195,0.0486097570107166,4920750000,ball,,,
7.24365,9.89305,3.42235,5.03265,0.0966911653136753,4920750000,ball,,,
0.40855,3.42235,4.77345,8.51155,0.12574558847308867,4920750000,shell,,0.10059647077847095,0.12574558847308867
7.44085,4.77345,6.87315,2.8218500000000004,0.07240280512216826,4920750000,shell,,0.05792224409773461,0.07240280512216826
5.97295,6.87315,9.30505,5.45995,0.10071235772444335,4920750000,shell,,0.08056988617955468,0.10071235772444335
2.15965,9.30505,7.94635,7.7086500000000004,0.11966787913224025,4920750000,gaussian,0.059833939566120126,,
0.34055,7.94635,7.72145,9.96355,0.13604904030361456,4920750000,shell,,0.10883923224289166,0.13604904030361456
0.00485,7.72145,8.06915,10.42585,0.13916953189472334,4920750000,ball,,,
4.00095,8.06915,4.79705,7.56795,0.11857074738707166,4920750000,shell,,0.09485659790965734,0.11857074738707166
6.51565,4.79705,2.63035,8.22465,0.12360816041095893,4920750000,ball,,,
3.15255,2.63035,6.98945,1.09555,0.04511329328665613,4920750000,gaussian,0.022556646643328064,,
6.32885,6.98945,3.90515,5.38985,0.10006374890410961,4920750000,shell,,0.0800509991232877,0.10006374890410961
5.54895,3.90515,3.56905,10.39595,0.1389698284310218,4920750000,ball,,,
9.91165,3.56905,1.87435,2.18065,0.06364750930037036,4920750000,ball,,,
8.04455,1.87435,1.37745,3.10755,0.07597968572752095,4920750000,gaussian,0.037989842863760476,,
4.81285,1.37745,1.98115,10.11385,0.13707134821018208,4920750000,ball,,,
7.41695,1.98115,0.82105,8.74395,0.12745071114911763,4920750000,gaussian,0.06372535557455881,,
5.94765,0.82105,6.07835,9.17665,0.13056612474401957,4920750000,gaussian,0.06528306237200979,,
2.21655,6.07835,1.68545,5.19955,0.09828139444062703,4920750000,shell,,0.07862511555250162,0.09828139444062703
9.85685,1.68545,3.89715,2.9978499999999997,0.07462655259920863,4920750000,shell,,0.059701242079366904,0.07462655259920863
8.40495,3.89715,9.75305,9.411950000000001,0.1322294635416616,4920750000,shell,,0.10578357083332929,0.1322294635416616
2.22365,9.75305,1.64235,2.81265,0.07228468232762184,4920750000,ball,,,
0.86855,1.64235,0.71345,4.57155,0.09215526819462061,4920750000,gaussian,0.046077634097310305,,
1.86085,0.71345,5.25315,8.441849999999999,0.12522967279746883,4920750000,shell,,0.10018373823797506,0.12522967279746883
9.31295,5.25315,1.56505,1.19995,0.04721391407805834,4920750000,shell,,0.037771131262446675,0.04721391407805834
0.33965,1.56505,0.96635,10.688649999999999,0.1409126098195411,4920750000,shell,,0.11273008785563288,0.1409126098195411
7.20055,0.96635,3.26145,6.4235500000000005,0.10923856458410156,4920750000,gaussian,0.05461928229205078,,
7.22485,3.26145,5.64915,6.84585,0.11277221738410871,4920750000,ball,,,
2.94095,5.64915,5.45705,4.90795,0.09548573494092212,4920750000,gaussian,0.04774286747046106,,
5.89565,5.45705,2.45035,4.40465,0.09045740662071197,4920750000,ball,,,
2.41255,2.45035,6.12945,3.95555,0.08572191601060508,4920750000,gaussian,0.04286095800530254,,
8.34885,6.12945,8.68515,4.60985,0.09254049694942285,4920750000,gaussian,0.04627024847471142,,
4.08895,8.68515,8.62905,3.33595,0.07872237657319855,4920750000,ball,,,
8.49165,8.62905,0.49435,9.560649999999999,0.13326992095886053,4920750000,gaussian,0.06663496047943027,,
5.70455,0.49435,8.11745,8.367550000000001,0.12467735733605403,4920750000,gaussian,0.06233867866802702,,
3.63285,8.11745,1.96115,4.133850000000001,0.0876326181875298,4920750000,shell,,0.07010609455002385,0.0876326181875298
