x1,x2,weight,radius,rng_seed,kind,sigma_factor,sigma,shell_thickness,inner_radius,outer_radius
1.05673,1.23461,4.29453,0.15803279289945127,216000,ball,0.5,,0.2,,
3.09771,7.79647,1.27831,0.08621989470431543,216000,ball,0.5,,0.2,,
4.12017,1.37869,3.51637,0.14300021093108314,216000,ball,0.5,,0.2,,
8.65859,1.62263,2.3959900000000003,0.11804073241504393,216000,ball,0.5,,0.2,,
2.75993,4.15701,8.74973,0.22557279502488442,216000,ball,0.5,,0.2,,
4.52411,4.78127,5.40871,0.1773520623941358,216000,gaussian,0.5,0.0886760311970679,0.2,,
7.51297,4.12829,6.71717,0.19764351308458242,216000,gaussian,0.5,0.09882175654229121,0.2,,
8.02419,0.18183,10.17759,0.2432830605729587,216000,gaussian,0.5,0.12164153028647935,0.2,,
7.15113,5.89541,7.57293,0.2098559881826796,216000,ball,0.5,,0.2,,
8.12651,6.99807,3.07511,0.13372719118489332,216000,ball,0.5,,0.2,,
8.85777,2.54189,6.589969999999999,0.19576322624730924,216000,gaussian,0.5,0.09788161312365462,0.2,,
0.49379,0.46903,10.50319,0.24714396271052227,216000,ball,0.5,,0.2,,
2.15033,1.88981,9.88413,0.23975000193950918,216000,ball,0.5,,0.2,,
1.74491,9.32687,4.51751,0.16208355600869748,216000,shell,0.5,,0.2,0.12966684480695798,0.16208355600869748
7.83457,4.37949,7.61477,0.21043491075080134,216000,ball,0.5,,0.2,,
