x1,x2,weight,radius,rng_seed,kind,sigma,inner_radius,outer_radius
1.05673,1.23461,4.29453,0.01670398918498643,1728000000,ball,,,
3.09771,7.79647,1.27831,0.00911340084705011,1728000000,shell,,0.007290720677640088,0.00911340084705011
4.12017,1.37869,3.51637,0.015115052597744002,1728000000,ball,,,
8.65859,1.62263,2.3959900000000003,0.012476847883738295,1728000000,gaussian,0.006238423941869148,,
2.75993,4.15701,8.74973,0.023842934490945857,1728000000,gaussian,0.011921467245472928,,
4.52411,4.78127,5.40871,0.018746026554447924,1728000000,gaussian,0.009373013277223962,,
7.51297,4.12829,6.71717,0.02089082300246465,1728000000,ball,,,
8.02419,0.18183,10.17759,0.025714900927472067,1728000000,shell,,0.020571920741977653,0.025714900927472067
7.15113,5.89541,7.57293,0.022181675668027073,1728000000,ball,,,
8.12651,6.99807,3.07511,0.014134898930200625,1728000000,shell,,0.0113079191441605,0.014134898930200625
8.85777,2.54189,6.589969999999999,0.020692077600208376,1728000000,gaussian,0.010346038800104188,,
0.49379,0.46903,10.50319,0.02612299640162588,1728000000,shell,,0.020898397121300705,0.02612299640162588
2.15033,1.88981,9.88413,0.025341458351913634,1728000000,ball,,,
1.74491,9.32687,4.51751,0.017132152871309696,1728000000,shell,,0.013705722297047758,0.017132152871309696
7.83457,4.37949,7.61477,0.022242867501313237,1728000000,shell,,0.01779429400105059,0.022242867501313237
3.42739,4.00423,10.33279,0.025910224812475634,1728000000,shell,,0.02072817984998051,0.025910224812475634
8.47753,7.18021,5.60333,0.019080312346429037,1728000000,gaussian,0.009540156173214518,,
8.81931,5.84767,1.57591,0.010118778408118487,1728000000,ball,,,
5.32337,5.80109,7.47157,0.022032730105626803,1728000000,gaussian,0.011016365052813401,,
6.58499,9.10743,3.02639,0.014022479905032345,1728000000,gaussian,0.0070112399525161725,,
1.65273,0.40661,7.45053,0.02200168606434925,1728000000,gaussian,0.011000843032174626,,
2.38971,7.84047,1.69031,0.010479620604144408,1728000000,gaussian,0.005239810302072204,,
1.40417,7.36669,5.040369999999999,0.018096458395215037,1728000000,ball,,,
8.12659,2.89863,4.34399,0.0167999035380761,1728000000,ball,,,
3.99593,7.80901,2.94573,0.013834352857332706,1728000000,shell,,0.011067482285866166,0.013834352857332706
9.09611,1.78527,1.9007100000000001,0.011112718404555376,1728000000,gaussian,0.005556359202277688,,
3.35697,0.03629,8.40117,0.02336319673761937,1728000000,shell,,0.018690557390095498,0.02336319673761937
0.61219,3.29783,8.44559,0.02342488011133323,1728000000,shell,,0.018739904089066586,0.02342488011133323
6.62713,7.22741,6.40893,0.020405871324611715,1728000000,ball,,,
3.17851,7.36207,2.84711,0.01360080152497994,1728000000,gaussian,0.00680040076248997,,
3.66177,1.16989,2.83397,0.013569379976400162,1728000000,ball,,,
7.00179,1.02503,3.89119,0.015900237019986403,1728000000,shell,,0.012720189615989122,0.015900237019986403
1.46633,2.10181,10.96013,0.02668518588584189,1728000000,gaussian,0.013342592942920945,,
0.47691,5.45087,2.76951,0.013414171314704253,1728000000,gaussian,0.0067070856573521265,,
7.99857,0.52749,8.81877,0.0239368163457824,1728000000,ball,,,
6.65539,1.60023,9.64079,0.025027570370785034,1728000000,ball,,,
3.23353,5.47221,10.51933,0.02614305998759061,1728000000,gaussian,0.013071529993795305,,
2.43131,6.13167,1.50791,0.009898060188276082,1728000000,shell,,0.007918448150620866,0.009898060188276082
3.24737,6.26909,10.03557,0.025534855347847815,1728000000,ball,,,
1.33299,7.34343,1.05439,0.008276810630480542,1728000000,shell,,0.006621448504384434,0.008276810630480542
1.44873,3.97861,1.80653,0.010833903644534378,1728000000,shell,,0.008667122915627502,0.010833903644534378
0.08171,6.68447,4.50231,0.017103306433637885,1728000000,ball,,,
5.48817,0.95469,1.36437,0.009415176382428728,1728000000,ball,,,
1.19459,9.37463,5.89199,0.019565609446304658,1728000000,ball,,,
2.43193,1.86101,6.34173,0.020298607857635403,1728000000,shell,,0.016238886286108322,0.020298607857635403
8.06811,9.58927,6.79271,0.021007961679252212,1728000000,gaussian,0.010503980839626106,,
8.00097,7.54429,6.88517,0.021150454950584117,1728000000,shell,,0.016920363960467293,0.021150454950584117
0.80019,9.61383,10.313590000000001,0.025886140918905655,1728000000,shell,,0.020708912735124527,0.025886140918905655
1.30313,4.95941,2.4449300000000003,0.012603628524568134,1728000000,ball,,,
8.63051,0.52607,7.0191099999999995,0.021355188238818858,1728000000,shell,,0.017084150591055086,0.021355188238818858
9.26577,5.39789,7.8779699999999995,0.022624007756186244,1728000000,ball,,,
5.10979,2.78103,4.87919,0.01780476495456024,1728000000,gaussian,0.00890238247728012,,
3.98233,4.71381,7.236129999999999,0.02168280978622152,1728000000,gaussian,0.01084140489311076,,
5.60891,6.37487,1.42151,0.00961030872410437,1728000000,ball,,,
0.96257,6.27549,10.82277,0.0265174399627596,1728000000,ball,,,
5.48339,8.39623,10.54879,0.026179641978613395,1728000000,gaussian,0.013089820989306698,,
9.18953,2.16421,8.63533,0.023686552167956662,1728000000,ball,,,
