x1,x2,weight,radius,rng_seed,kind,sigma_factor,sigma,shell_thickness,inner_radius,outer_radius
1.05673,1.23461,4.29453,0.15803279289945127,1000000,shell,0.5,,0.2,0.12642623431956101,0.15803279289945127
3.09771,7.79647,1.27831,0.08621989470431543,1000000,ball,0.5,,0.2,,
4.12017,1.37869,3.51637,0.14300021093108314,1000000,shell,0.5,,0.2,0.11440016874486653,0.14300021093108314
8.65859,1.62263,2.3959900000000003,0.11804073241504393,1000000,gaussian,0.5,0.05902036620752196,0.2,,
2.75993,4.15701,8.74973,0.22557279502488442,1000000,gaussian,0.5,0.11278639751244221,0.2,,
4.52411,4.78127,5.40871,0.1773520623941358,1000000,ball,0.5,,0.2,,
7.51297,4.12829,6.71717,0.19764351308458242,1000000,gaussian,0.5,0.09882175654229121,0.2,,
8.02419,0.18183,10.17759,0.2432830605729587,1000000,shell,0.5,,0.2,0.19462644845836696,0.2432830605729587
7.15113,5.89541,7.57293,0.2098559881826796,1000000,shell,0.5,,0.2,0.1678847905461437,0.2098559881826796
8.12651,6.99807,3.07511,0.13372719118489332,1000000,gaussian,0.5,0.06686359559244666,0.2,,
8.85777,2.54189,6.589969999999999,0.19576322624730924,1000000,gaussian,0.5,0.09788161312365462,0.2,,
0.49379,0.46903,10.50319,0.24714396271052227,1000000,shell,0.5,,0.2,0.19771517016841783,0.24714396271052227
2.15033,1.88981,9.88413,0.23975000193950918,1000000,gaussian,0.5,0.11987500096975459,0.2,,
1.74491,9.32687,4.51751,0.16208355600869748,1000000,shell,0.5,,0.2,0.12966684480695798,0.16208355600869748
7.83457,4.37949,7.61477,0.21043491075080134,1000000,ball,0.5,,0.2,,
3.42739,4.00423,10.33279,0.24513097718289215,1000000,shell,0.5,,0.2,0.19610478174631374,0.24513097718289215
8.47753,7.18021,5.60333,0.18051466725147505,1000000,shell,0.5,,0.2,0.14441173380118005,0.18051466725147505
8.81931,5.84767,1.57591,0.09573155219729791,1000000,gaussian,0.5,0.047865776098648956,0.2,,
5.32337,5.80109,7.47157,0.20844684675212535,1000000,gaussian,0.5,0.10422342337606268,0.2,,
6.58499,9.10743,3.02639,0.13266361934432097,1000000,ball,0.5,,0.2,,
1.65273,0.40661,7.45053,0.20815314585878505,1000000,shell,0.5,,0.2,0.16652251668702805,0.20815314585878505
2.38971,7.84047,1.69031,0.0991454013923873,1000000,shell,0.5,,0.2,0.07931632111390985,0.0991454013923873
1.40417,7.36669,5.040369999999999,0.17120663992975865,1000000,ball,0.5,,0.2,,
8.12659,2.89863,4.34399,0.15894021764272925,1000000,gaussian,0.5,0.07947010882136463,0.2,,
3.99593,7.80901,2.94573,0.13088379044005996,1000000,shell,0.5,,0.2,0.10470703235204798,0.13088379044005996
