x1,x2,x3,weight,radius,rng_seed,kind,sigma,inner_radius,outer_radius
1.05673,1.23461,7.79647,4.29453,0.02676815315365563,1152000000,ball,,,
3.09771,7.79647,1.37869,1.27831,0.014604230577672662,1152000000,ball,,,
4.12017,1.37869,1.62263,3.51637,0.024221881275260208,1152000000,shell,,0.019377505020208168,0.024221881275260208
8.65859,1.62263,4.15701,2.3959900000000003,0.019994156565124842,1152000000,shell,,0.015995325252099873,0.019994156565124842
2.75993,4.15701,4.78127,8.74973,0.03820831748740954,1152000000,gaussian,0.01910415874370477,,
4.52411,4.78127,4.12829,5.40871,0.030040519319958183,1152000000,shell,,0.024032415455966547,0.030040519319958183
7.51297,4.12829,0.18183,6.71717,0.033477556974145034,1152000000,shell,,0.02678204557931603,0.033477556974145034
8.02419,0.18183,5.89541,10.17759,0.04120814487693364,1152000000,gaussian,0.02060407243846682,,
7.15113,5.89541,6.99807,7.57293,0.035546149180947735,1152000000,ball,,,
8.12651,6.99807,2.54189,3.07511,0.022651184407801735,1152000000,ball,,,
8.85777,2.54189,0.46903,6.589969999999999,0.03315906734228138,1152000000,ball,,,
0.49379,0.46903,1.88981,10.50319,0.04186211813041739,1152000000,gaussian,0.020931059065208694,,
2.15033,1.88981,9.32687,9.88413,0.04060970291519982,1152000000,ball,,,
1.74491,9.32687,4.37949,4.51751,0.027454285729737293,1152000000,ball,,,
7.83457,4.37949,4.00423,7.61477,0.03564420913219754,1152000000,shell,,0.028515367305758033,0.03564420913219754
3.42739,4.00423,7.18021,10.33279,0.04152115152525223,1152000000,ball,,,
8.47753,7.18021,5.84767,5.60333,0.030576212511431517,1152000000,gaussian,0.015288106255715759,,
8.81931,5.84767,5.80109,1.57591,0.016215348750337415,1152000000,ball,,,
5.32337,5.80109,9.10743,7.47157,0.035307463823711555,1152000000,ball,,,
6.58499,9.10743,0.40661,3.02639,0.0224710328494067,1152000000,ball,,,
1.65273,0.40661,7.84047,7.45053,0.03525771572807864,1152000000,shell,,0.028206172582462913,0.03525771572807864
2.38971,7.84047,7.36669,1.69031,0.01679359859596141,1152000000,shell,,0.013434878876769127,0.01679359859596141
1.40417,7.36669,2.89863,5.040369999999999,0.02899958593706829,1152000000,gaussian,0.014499792968534144,,
8.12659,2.89863,7.80901,4.34399,0.026921855964685087,1152000000,ball,,,
3.99593,7.80901,1.78527,2.94573,0.022169559137384946,1152000000,ball,,,
9.09611,1.78527,0.03629,1.9007100000000001,0.017808138218501104,1152000000,ball,,,
3.35697,0.03629,3.29783,8.40117,0.037439537436583355,1152000000,shell,,0.029951629949266687,0.037439537436583355
0.61219,3.29783,7.22741,8.44559,0.03753838508167706,1152000000,ball,,,
6.62713,7.22741,7.36207,6.40893,0.03270042160599254,1152000000,gaussian,0.01635021080299627,,
3.17851,7.36207,1.16989,2.84711,0.02179529298069477,1152000000,shell,,0.017436234384555816,0.02179529298069477
3.66177,1.16989,1.02503,2.83397,0.021744939929373083,1152000000,shell,,0.017395951943498467,0.021744939929373083
7.00179,1.02503,2.10181,3.89119,0.025480139804746095,1152000000,gaussian,0.012740069902373048,,
1.46633,2.10181,5.45087,10.96013,0.04276302713174713,1152000000,gaussian,0.021381513565873565,,
0.47691,5.45087,0.52749,2.76951,0.021496217951584434,1152000000,shell,,0.017196974361267547,0.021496217951584434
7.99857,0.52749,1.60023,8.81877,0.038358763218712615,1152000000,ball,,,
6.65539,1.60023,5.47221,9.64079,0.04010669722842088,1152000000,ball,,,
3.23353,5.47221,6.13167,10.51933,0.04189427003951933,1152000000,shell,,0.033515416031615466,0.04189427003951933
2.43131,6.13167,6.26909,1.50791,0.015861647664500142,1152000000,shell,,0.012689318131600114,0.015861647664500142
3.24737,6.26909,7.34343,10.03557,0.040919621722575246,1152000000,gaussian,0.020459810861287623,,
1.33299,7.34343,3.97861,1.05439,0.013263594230511239,1152000000,ball,,,
1.44873,3.97861,6.68447,1.80653,0.017361337390561754,1152000000,gaussian,0.008680668695280877,,
0.08171,6.68447,0.95469,4.50231,0.027408059295261963,1152000000,gaussian,0.013704029647630981,,
5.48817,0.95469,9.37463,1.36437,0.015087826062534553,1152000000,shell,,0.012070260850027643,0.015087826062534553
1.19459,9.37463,1.86101,5.89199,0.03135390141859218,1152000000,gaussian,0.01567695070929609,,
2.43193,1.86101,9.58927,6.34173,0.03252853183283617,1152000000,gaussian,0.016264265916418084,,
8.06811,9.58927,7.54429,6.79271,0.03366527177722239,1152000000,shell,,0.026932217421777913,0.03366527177722239
8.00097,7.54429,9.61383,6.88517,0.03389361733397157,1152000000,shell,,0.027114893867177255,0.03389361733397157
0.80019,9.61383,4.95941,10.313590000000001,0.04148255707068942,1152000000,gaussian,0.02074127853534471,,
1.30313,4.95941,0.52607,2.4449300000000003,0.020197322621631993,1152000000,ball,,,
8.63051,0.52607,5.39789,7.0191099999999995,0.03422170255687417,1152000000,gaussian,0.017110851278437086,,
9.26577,5.39789,2.78103,7.8779699999999995,0.036254986629864615,1152000000,ball,,,
5.10979,2.78103,4.71381,4.87919,0.028532147015329627,1152000000,ball,,,
3.98233,4.71381,6.37487,7.236129999999999,0.034746716292227545,1152000000,gaussian,0.017373358146113772,,
5.60891,6.37487,6.27549,1.42151,0.01540052576254991,1152000000,ball,,,
