x1,x2,weight,radius,rng_seed,kind,sigma_factor,sigma,shell_thickness,inner_radius,outer_radius
4.22692,4.93844,14.17812,0.48487014469963946,2500000,ball,0.5,,0.2,,
2.39084,1.18588,2.1132400000000002,0.18719339943201083,2500000,ball,0.5,,0.2,,
6.48068,5.51476,1.06548,0.13291952202481636,2500000,gaussian,0.5,0.06645976101240818,0.2,,
4.63436,6.49052,6.58396,0.3304149671146464,2500000,gaussian,0.5,0.1652074835573232,0.2,,
1.03972,6.62804,1.99892,0.18205970158025434,2500000,gaussian,0.5,0.09102985079012717,0.2,,
8.09644,9.12508,8.63484,0.3783931512144172,2500000,shell,0.5,,0.2,0.3027145209715338,0.3783931512144172
0.05188,6.51316,3.8686800000000003,0.2532780325930861,2500000,gaussian,0.5,0.12663901629654306,0.2,,
2.09676,0.72732,7.71036,0.3575637207600989,2500000,gaussian,0.5,0.17878186038004945,0.2,,
8.60452,3.58164,7.29172,0.3477211534934429,2500000,ball,0.5,,0.2,,
2.50604,7.99228,9.30044,0.39270629913270483,2500000,ball,0.5,,0.2,,
