x1,x2,weight,radius,rng_seed,kind,sigma_factor,sigma,shell_thickness,inner_radius,outer_radius
3.17019,3.70383,10.88359,0.10548313856223648,16000000,gaussian,0.5,0.05274156928111824,0.2,,
9.29313,3.38941,1.83493,0.0433118473219044,16000000,ball,0.5,,0.2,,
2.36051,4.13607,8.549109999999999,0.09348833161554142,16000000,shell,0.5,,0.2,0.07479066529243314,0.09348833161554142
5.97577,4.86789,5.18797,0.07282754746708386,16000000,shell,0.5,,0.2,0.058262037973667094,0.07282754746708386
8.27979,2.47103,4.2491900000000005,0.06590980584085693,16000000,ball,0.5,,0.2,,
3.57233,4.34381,4.2261299999999995,0.06573071902633935,16000000,ball,0.5,,0.2,,
2.53891,2.38487,8.15151,0.09128848290747042,16000000,shell,0.5,,0.2,0.07303078632597634,0.09128848290747042
4.07257,0.54549,8.53277,0.09339894628970101,16000000,ball,0.5,,0.2,,
1.45339,7.68623,10.71879,0.10468147614250622,16000000,gaussian,0.5,0.05234073807125311,0.2,,
4.37953,0.99421,7.22533,0.085946026020758,16000000,ball,0.5,,0.2,,
6.57331,7.62567,7.76991,0.08912610987034436,16000000,gaussian,0.5,0.04456305493517218,0.2,,
1.48137,1.40709,9.50957,0.09860010938170623,16000000,shell,0.5,,0.2,0.07888008750536499,0.09860010938170623
6.45099,5.66943,7.6523900000000005,0.0884495249396166,16000000,gaussian,0.5,0.0442247624698083,0.2,,
5.23473,7.98061,1.55253,0.03983978237094579,16000000,shell,0.5,,0.2,0.031871825896756634,0.03983978237094579
3.50371,3.13847,10.84431,0.10529261673470976,16000000,ball,0.5,,0.2,,
0.28217,2.01269,8.998370000000001,0.09591331030839532,16000000,gaussian,0.5,0.04795665515419766,0.2,,
5.43259,1.54063,4.80999,0.07012438147803482,16000000,gaussian,0.5,0.03506219073901741,0.2,,
6.45793,7.54301,2.72773,0.052807747964978426,16000000,gaussian,0.5,0.026403873982489213,0.2,,
5.97011,7.40327,10.41471,0.10318594541199091,16000000,gaussian,0.5,0.05159297270599546,0.2,,
9.75497,7.32229,7.07917,0.08507229084509382,16000000,shell,0.5,,0.2,0.06805783267607506,0.08507229084509382
4.95819,1.21983,10.35159,0.10287278281281234,16000000,ball,0.5,,0.2,,
7.16913,3.52141,3.07093,0.056031456969992136,16000000,ball,0.5,,0.2,,
4.21251,2.10007,3.12111,0.056487388161803986,16000000,gaussian,0.5,0.028243694080901993,0.2,,
4.37977,8.69589,1.03197,0.032481082385156325,16000000,gaussian,0.5,0.016240541192578162,0.2,,
1.98779,3.42703,6.83719,0.08360567957020112,16000000,shell,0.5,,0.2,0.06688454365616091,0.08360567957020112
