file,n,family_distr,omp,method,y,rho,time,dev,hw,hw_perc,UnSolved,d
instance_n50_d2_1.csv,50,symmetric,median,saa,[4.00764618 4.19945214],1112.742969,104.6964638,0,0.125756267,0.011301466,0,2
instance_n50_d2_1.csv,50,symmetric,center,saa,[4.28504012 4.84927053],60.87520819,57.00416565,0,0.034313089,0.056366278,0,2
instance_n50_d2_1.csv,50,symmetric,halfsum,saa,[4.43156582 4.11077464],853.6214375,84.26298213,0,0.116528385,0.013651061,0,2
instance_n50_d2_1.csv,50,symmetric,halfcentdian,saa,[3.92391182 4.33895594],588.3980709,110.1318014,0,0.072096109,0.012252948,0,2
instance_n50_d2_1.csv,50,mixed,median,saa,[4.00725424 4.20306036],1113.773236,119.9218516,0,0.10953803,0.009834859,0,2
instance_n50_d2_1.csv,50,mixed,center,saa,[4.25869596 4.88173874],60.98006261,56.37224293,0,0.013451244,0.02205843,0,2
instance_n50_d2_1.csv,50,mixed,halfsum,saa,[4.43072142 4.10932491],854.4920062,92.63979936,0,0.093938742,0.010993519,0,2
instance_n50_d2_1.csv,50,mixed,halfcentdian,saa,[3.92117819 4.34215415],589.1521787,100.4901927,0,0.058215275,0.009881195,0,2
instance_n50_d2_2.csv,50,symmetric,median,saa,[4.65252967 4.11978343],993.1099771,112.9466944,0,0.080895996,0.008145724,0,2
instance_n50_d2_2.csv,50,symmetric,center,saa,[4.980616   5.20940867],58.50646002,64.92818975,0,0.017888415,0.030575111,0,2
instance_n50_d2_2.csv,50,symmetric,halfsum,saa,[4.45676302 4.51192484],771.0659777,88.04891658,0,0.063502622,0.008235692,0,2
instance_n50_d2_2.csv,50,symmetric,halfcentdian,saa,[4.8022104 4.2754369],530.3741557,104.6034048,0,0.044333218,0.008358857,0,2
instance_n50_d2_2.csv,50,mixed,median,saa,[4.64977526 4.1184058 ],992.7078347,116.6531363,0,0.059754776,0.006019372,0,2
instance_n50_d2_2.csv,50,mixed,center,saa,[4.9917037  5.20630225],58.53729867,52.2392807,0,0.018382004,0.031402207,0,2
instance_n50_d2_2.csv,50,mixed,halfsum,saa,[4.46919061 4.5060546 ],770.5886426,65.74782205,0,0.054335897,0.00705122,0,2
instance_n50_d2_2.csv,50,mixed,halfcentdian,saa,[4.80004362 4.27422934],530.2284807,139.1459105,0,0.033998693,0.006412084,0,2
instance_n50_d2_3.csv,50,symmetric,median,saa,[4.20356506 4.03676177],1130.102006,117.5954521,0,0.176635671,0.015630064,0,2
instance_n50_d2_3.csv,50,symmetric,center,saa,[4.76520198 5.2333808 ],49.66976355,65.83966875,0,0.029733129,0.059861628,0,2
instance_n50_d2_3.csv,50,symmetric,halfsum,saa,[4.61946774 4.57313971],854.3977254,92.02203822,0,0.134733765,0.015769443,0,2
instance_n50_d2_3.csv,50,symmetric,halfcentdian,saa,[4.32816442 4.15644125],594.3328424,151.0780258,0,0.088464095,0.014884605,0,2
instance_n50_d2_3.csv,50,mixed,median,saa,[4.20618387 4.03630029],1129.898447,120.8559601,0,0.137526058,0.012171541,0,2
instance_n50_d2_3.csv,50,mixed,center,saa,[4.76684403 5.2328347 ],49.68371472,74.21030807,0,0.026861324,0.054064645,0,2
instance_n50_d2_3.csv,50,mixed,halfsum,saa,[4.62293151 4.57785197],853.242685,106.995012,0,0.116946461,0.013706119,0,2
instance_n50_d2_3.csv,50,mixed,halfcentdian,saa,[4.32998235 4.1575691 ],594.2284501,198.5944734,0,0.070745047,0.011905362,0,2
instance_n50_d2_4.csv,50,symmetric,median,saa,[4.27884406 5.28869913],1077.175774,138.545923,0,0.119329278,0.011077976,0,2
instance_n50_d2_4.csv,50,symmetric,center,saa,[5.27813288 4.29966891],48.25617708,62.27396107,0,0.025181276,0.052182492,0,2
instance_n50_d2_4.csv,50,symmetric,halfsum,saa,[4.13351173 5.76181294],803.294217,91.9182241,0,0.099506456,0.012387299,0,2
instance_n50_d2_4.csv,50,symmetric,halfcentdian,saa,[4.24563883 5.0497517 ],565.5646601,139.0486271,0,0.061053641,0.010795165,0,2
instance_n50_d2_4.csv,50,mixed,median,saa,[4.27920635 5.29084942],1077.421801,122.0795977,0,0.100668683,0.009343479,0,2
instance_n50_d2_4.csv,50,mixed,center,saa,[5.27802863 4.29946899],48.26019104,59.76452684,0,0.023277485,0.048233305,0,2
instance_n50_d2_4.csv,50,mixed,halfsum,saa,[4.1338256  5.75896244],803.2755434,85.85796952,0,0.07677021,0.009557145,0,2
instance_n50_d2_4.csv,50,mixed,halfcentdian,saa,[4.24627274 5.05056602],565.7535751,142.7571521,0,0.052397426,0.009261528,0,2
instance_n50_d2_5.csv,50,symmetric,median,saa,[4.87474067 5.89365479],1254.612775,131.7638321,0,0.125907551,0.010035571,0,2
instance_n50_d2_5.csv,50,symmetric,center,saa,[5.43477203 5.75146716],60.22573239,76.54893255,0,0.032621664,0.054165657,0,2
instance_n50_d2_5.csv,50,symmetric,halfsum,saa,[4.62928592 5.11516269],963.1482248,103.9654539,0,0.12058068,0.012519431,0,2
instance_n50_d2_5.csv,50,symmetric,halfcentdian,saa,[4.9792407  5.88740656],659.203267,129.1035283,0,0.063641026,0.009654234,0,2
instance_n50_d2_5.csv,50,mixed,median,saa,[4.8759901  5.89572121],1254.595837,126.4743814,0,0.107287705,0.008551575,0,2
instance_n50_d2_5.csv,50,mixed,center,saa,[5.43237405 5.76356679],60.16453,70.39657283,0,0.030144065,0.050102719,0,2
instance_n50_d2_5.csv,50,mixed,halfsum,saa,[4.63956288 5.12730521],963.0875752,106.5723491,0,0.079188317,0.008222338,0,2
instance_n50_d2_5.csv,50,mixed,halfcentdian,saa,[4.98519537 5.90087224],659.1372593,154.2312598,0,0.063424078,0.009622287,0,2
instance_n50_d3_1.csv,50,symmetric,median,saa,[4.13188392 4.20782433 5.40247713],1359.91902,138.9002042,0,0.13841242,0.01017799,0,3
instance_n50_d3_1.csv,50,symmetric,center,saa,[3.73119666 4.37487401 4.89099641],61.93580526,89.9319756,0,0.032361884,0.052250688,0,3
instance_n50_d3_1.csv,50,symmetric,halfsum,saa,[4.51158905 3.75715752 5.641141  ],1000.627001,93.32569671,0,0.125215349,0.012513689,0,3
instance_n50_d3_1.csv,50,symmetric,halfcentdian,saa,[4.01347414 4.20918421 5.33525434],712.669634,136.3212965,0,0.073168051,0.010266756,0,3
instance_n50_d3_1.csv,50,mixed,median,saa,[4.1344296  4.21107458 5.40249069],1360.268686,123.1900401,0,0.123927453,0.009110513,0,3
instance_n50_d3_1.csv,50,mixed,center,saa,[3.7189851  4.36348587 4.88024932],61.97373707,96.59994531,0,0.035197479,0.056794185,0,3
instance_n50_d3_1.csv,50,mixed,halfsum,saa,[4.49789871 3.75833637 5.63159029],1001.180222,90.54505444,0,0.096364655,0.009625106,0,3
instance_n50_d3_1.csv,50,mixed,halfcentdian,saa,[4.01562835 4.19595084 5.32831941],712.9308807,144.9106531,0,0.062172796,0.008720733,0,3
instance_n50_d3_2.csv,50,symmetric,median,saa,[4.80124174 4.15832368 4.22142578],1259.849374,123.0530794,0,0.154463079,0.01226044,0,3
instance_n50_d3_2.csv,50,symmetric,center,saa,[4.9361301  5.23312311 6.02611481],62.59203427,76.42509484,0,0.040640936,0.064929885,0,3
instance_n50_d3_2.csv,50,symmetric,halfsum,saa,[4.34003214 4.23546265 4.01385549],953.7320259,118.9456172,0,0.145540193,0.015260072,0,3
