x,y,w,R^2
4.52411,4.78127,9.965077,2.751910489
1.78091,4.57887,5.062159,1.397942881
7.72977,4.64589,8.943773,2.469871807
9.11993,8.67701,4.338757,1.198171464
6.66579,8.67303,4.235671,1.169703702
9.78633,0.34181,4.132117,1.141106698
4.70153,0.74821,4.120597,1.137925388
4.73297,9.66829,2.923453,0.807327528
2.05217,1.90269,2.771533,0.765373989
0.30953,0.00421,2.759797,0.762133028
1.44497,6.65229,2.052253,0.566740885
1.59753,9.02021,1.830997,0.505639831
2.38971,7.84047,1.621279,0.447725059
7.44393,1.94501,1.606357,0.443604267
0.13699,3.97143,1.268551,0.350317293
