x,y,w,R^2
4.52411,4.78127,9.965077,1.558332131
3.31913,9.07141,7.498837,1.172663156
7.38651,6.81807,5.441599,0.850953642
1.78091,4.57887,5.062159,0.791617067
7.32977,4.64589,8.943773,1.398621289
2.96017,3.25869,4.380733,0.685056121
9.11993,8.67701,4.338757,0.678491942
6.66579,8.67303,4.235671,0.662371421
9.78633,0.34181,4.132117,0.646177716
4.70153,0.74821,4.120597,0.644376226
1.05673,1.23461,3.965077,0.620056111
9.03379,5.24903,3.198871,0.500237325
4.73297,9.66829,2.923453,0.457167641
2.05217,1.90269,2.771533,0.433410492
0.30953,0.00421,2.759797,0.431575224
5.57273,7.84661,2.413477,0.377417932
2.74817,6.77469,2.101933,0.328698888
1.44497,6.65229,2.052253,0.320929963
6.03673,1.09461,1.967077,0.307610197
1.59753,9.02021,1.830997,0.286330096
2.38971,7.84047,1.621279,0.253534535
9.18657,3.84349,1.618093,0.25303631
7.44393,1.94501,1.606357,0.251201042
5.60891,6.37487,1.379359,0.215703245
0.13699,3.97143,1.268551,0.198375164
